Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, February 14, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5366.9 at 2014-02-14T16:38:06. Report at Friday, February 14, 2014. Processed Saturday at 2014-02-15T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
109,106,SKT,Sky Network TV,2.101,5.40,+9,5.84,3.95,20.18,,3.74,3.74,15.6,29.70,18.2,19.4,2.111,.62,35.1,18.6,,
110,111,NEC,Nine Entertainment,2.097,2.23,+5,2.30,1.80,-,,-,-,-,-,-,-,1.219,-,-,-,,
111,108,FPH,Fisher & Paykel Health,2.071,3.76,+2,3.90,1.90,10.76,,2.86,2.86,1.8,13.81,27.2,20.1,6.934,.57,87.9,24.1,,
112,113,EGP,Echo Entertainment,2.023,2.45,+7,3.78,2.13,6.00,f,2.45,3.50,50.0,7.60,32.2,-19.2,.707,1.28,-33.3,-,,
113,112,SKC,SkyCity Entertain,2.013,3.47,+3,3.89,3.20,16.61,f,4.79,5.76,24.8,19.24,18.0,4.6,2.939,.67,6.1,18.1,,
114,118,BPT,Beach Energy,1.962,1.535,+10.5,1.54,1.092,2.75,f,1.79,2.55,22.2,12.17,12.6,1.5,1.101,1.41,10.7,20.4,,
115,115,QUB,Qube Holdings,1.928,2.07,+4,2.27,1.565,4.50,f,2.17,3.10,9.8,8.40,24.6,9.1,1.688,.49,20.1,15.0,,
116,116,IOF,Investa Office Fd,1.904,3.10,+5,3.44,2.72,18.25,,5.89,5.89,82.0,25.80,12.0,-29.0,.958,3.23,7.9,15.3,,
117,121,MFG,Magellan Fin Grp,1.893,12.15,+60,12.87,6.15,21.50,f,1.77,2.53,377.8,43.60,27.9,370.6,12.372,1.02,71.9,94.2,,
118,117,AUT,Aurora Oil & Gas,1.853,4.13,+4,4.14,2.62,-,,-,-,-,21.95,18.8,77.1,4.248,1.23,6.4,8.0,,
119,119,MSB,Mesoblast,1.853,5.77,+11,6.98,5.14,-,,-,-,-,-21.06,-,-16.3,2.941,.72,-12.6,3.4,,
120,122,TPI,Transpacific Indust,1.839,1.165,+3.5,1.20,.715,-,,-,-,-,-13.90,-,1.6,.916,.09,28.0,1.9,,
121,114,JBH,JB Hi-Fi,1.832,18.27,-75,23.13,12.04,77.00,f,4.21,6.02,10.8,125.20,14.6,10.5,7.513,2.31,47.0,3.0,,
122,124,GNC,GrainCorp,1.797,7.85,+25,12.828,7.50,40.00,f,5.10,7.28,14.3,61.90,12.7,-23.4,1.022,5.62,-33.3,8.5,,
123,123,BTT,BT Invest Mgt,1.781,6.30,+8,6.59,2.82,18.00,p,2.86,3.74,44.0,20.90,30.1,45.7,3.172,.08,96.3,36.1,,
124,125,AIZ,Air New Zealand,1.733,1.565,+2.5,1.63,1.015,6.73,,4.30,4.30,54.6,13.98,11.2,181.9,1.133,1.33,45.8,22.2,,
125,126,CMW,Cromwell Property,1.696,.985,+1.5,1.112,.903,7.37,,7.48,7.48,3.8,3.44,28.6,10.7,1.412,.70,13.2,18.9,,
126,129,FXJ,Fairfax Media,1.693,.72,+4,.73,.455,2.00,f,2.78,3.96,-33.3,-.70,-,-,.932,.16,27.6,-14.7,,
127,133,DMP,Domino's Pizza,1.676,19.51,+282,20.10,9.965,33.10,f,1.70,2.42,16.1,41.70,46.8,14.1,16.340,-.01,93.4,54.1,,
128,127,DJS,David Jones,1.665,3.10,+4,3.15,2.32,17.00,f,5.48,7.83,-2.9,18.00,17.2,-1.6,2.079,1.30,17.8,-6.5,,
129,128,VED,Veda Grp,1.634,1.94,+4,2.00,1.63,-,,-,-,-,-,-,-,2.586,-,-,-,,
130,130,ORA,Orora,1.629,1.35,+9,1.42,1.115,-,,-,-,-,-,-,-,1.253,-,-,-,,
131,120,WHC,Whitehaven Coal,1.610,1.57,-19,3.27,1.472,-,,-,-,-100.0,-8.40,-,-,.488,3.12,-43.9,-36.2,,
132,131,CSR,CSR,1.548,3.06,+7,3.19,1.80,7.10,,2.32,2.32,-60.8,-23.40,-,-62.9,1.425,2.02,58.2,.3,,
133,136,RRL,Regis Res,1.539,3.09,+25,4.60,2.63,15.00,f,4.85,6.93,-,30.49,10.1,98.4,2.852,-,-27.6,16.3,,
134,135,IRE,IRESS,1.492,9.41,+47,10.38,7.159,38.00,p,4.04,5.60,-,29.04,32.4,-6.7,11.765,.59,25.8,7.5,,
135,138,TME,Trade Me Grp,1.467,3.70,+17,4.55,3.45,13.20,,3.57,3.57,111.9,16.71,22.1,3.2,2.233,-.25,-3.6,-,,
136,132,MYR,Myer Hldgs,1.458,2.49,-6,3.26,2.19,18.00,f,7.23,10.33,-5.3,21.80,11.4,-7.2,1.610,-.07,-4.9,-1.0,,
137,137,BWP,BWP Trust,1.455,2.32,+8,2.772,2.12,13.97,,6.02,6.02,-3.6,22.76,10.2,54.9,1.403,2.02,5.3,17.6,,
