Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
XAO 4925.9 at 16:34 1/4/2010  Report at 19:08 Thursday 1/4/2010. Processed 14:20 Monday 5/4/2010.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move ¢,Year High,Year Low,DPS ¢,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS ¢,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
131,131,BLY,Boart Longyear,1.522,0.33,,0.41,0.085,-,,-,-,-100.0,-0.67,-,-97.5,1.46,0.14,241.2,-39.7
132,132,WTF,Wotif Com Hldgs,1.519,7.25,,7.87,3.54,20,f,2.76,3.94,16.7,24.23,29.9,24.6,21.35,-0.06,88.1,23.3
133,133,PNA,PanAust Ltd,1.511,0.515,,0.65,0.251,-,,-,-,-,0.96,53.6,-,2.60,0.20,62.3,-
134,134,KAR,Karoon Gas Aust,1.497,8.43,,12.10,3.00,-,,-,-,-,-15.25,-,-,4.47,-,53.3,55.3
135,135,ALZ,Australand Prop stp,1.485,0.515,,0.585,0.284,8,,15.53,15.53,-50.5,-13.4,-,-55.1,0.66,0.68,40.8,-25.3
136,136,AUN,Austar United,1.484,1.185,,1.465,0.67,-,,-,-,-,4.7,25.2,118.4,-,-0.31,51.9,-11.0
137,137,SEV,Seven Network   ,1.428,7.50,,8.09,5.03,34,f,4.53,6.48,-,258.43,2.9,-26.4,0.73,9.70,25.3,-8.9
138,138,AWE,AWE Ltd,1.419,2.72,,3.17,2.17,-,,-,-,-,1.43,190.2,-58.4,1.29,1.74,11.5,-1.0
139,139,SKC,Sky City Entertain,1.409,2.45,,2.89,2.03,11.69,,4.77,4.77,-29.2,19.09,12.8,-9.5,2.36,0.53,19.3,-14.3
140,140,CQO,Charter Hall Office unt,1.389,0.285,,0.355,0.14,2.5,,8.77,8.77,-66.5,10.03,2.8,-,0.61,0.44,51.4,-39.3
141,141,APN,APN News & Media,1.377,2.30,,2.61,1.129,4,f,1.74,2.48,-100.0,16.7,13.8,-40.2,1.19,-0.78,71.7,-20.4
142,142,HSP,Healthscope Ltd,1.367,4.35,,5.18,3.61,22.5,f,5.17,7.39,10.3,29.78,14.6,12.9,1.51,0.66,18.1,-4.3
143,143,AND,Andean Res Ltd,1.323,2.81,,2.90,1.415,-,,-,-,-,-4.64,-,-40.2,19.40,-,73.5,73.3
144,144,MND,Monadelphous Grp,1.316,15.30,,15.77,8.73,79,f,5.16,7.38,2.8,91.08,16.8,11.8,10.74,1.52,60.2,10.3
145,145,PIH,Prime Infr Grp stp,1.302,3.70,,4.57,0.034,-,,-,-,-,-,-,-,-,-,-,-
146,146,ZIM,Zimplats Hldgs,1.288,11.97,,12.65,4.50,-,,-,-,-,35.15,34.1,-,2.52,-,149.4,-12.7
147,147,TPI,Transpacific Indust,1.278,1.33,,1.785,1.03,-,,-,-,-100.0,-58.1,-,-66.8,0.94,-0.23,3.2,-46.3
148,148,FPH,Fisher & Paykel H,1.276,2.49,,2.83,2.18,9.89,,3.97,3.97,-3.5,11.47,21.7,68.3,7.55,0.46,7.4,-5.7
149,149,SKI,Spark Infrastructure stp,1.233,1.195,,1.445,0.98,13.56,,11.35,11.35,-0.4,12.08,9.9,136.2,2.14,1.78,30.3,-2.6
150,150,SGT,Singapore Tel cdi,1.226,2.51,,2.94,2.25,10.69,,4.26,4.26,16.6,20.76,12.1,14.2,0.06,0.61,9.8,2.8
151,151,PBG,Pac Brands,1.22,1.31,,1.52,0.317,-,,-,-,-100.0,-7.6,-,-19.0,0.96,-0.04,87.2,-20.9
152,152,CRZ,Carsales Com Ltd,1.213,5.22,,5.86,3.56,6.6,f,1.26,1.80,-,8.2,63.7,-,-,0.01,-,-
153,153,GNC,Graincorp Ltd,1.21,6.10,,8.85,5.20,7.27,f,1.19,1.70,-,86.92,7.0,-,1.74,6.79,-,-10.5
154,154,MIN,Mineral Res,1.193,7.65,,7.84,2.55,18.75,f,2.45,3.50,-,38.3,20.0,-8.4,8.24,2.39,128.2,44.6
155,155,HGG,Henderson Grp cdi  1:1,1.168,2.35,,2.67,1.56,12.15,,5.17,5.17,-10.1,3.23,72.8,-43.9,2.31,-0.18,38.4,-8.8
156,156,MMX,Murchison Metals,1.167,2.68,,2.94,0.70,-,,-,-,-,-8.73,-,-,4.93,-,173.5,4.0
157,157,AGO,Atlas Iron Ltd,1.154,2.58,,2.60,1.165,-,,-,-,-,-15.5,-,18.9,5.77,-,97.0,65.4
