Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, July 31, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5681.7 at 2015-07-31T16:43:36. Report at Friday, July 31, 2015. Processed Saturday at 2015-08-01T23:15:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
142,142,IVC,InvoCare,1.487,13.51,+31,14.17,10.20,36.50,f,2.70,3.86,5.8,44.10,30.6,14.1,7.909,.46,31.4,18.6,,
143,143,AOG,Aveo Grp,1.423,2.76,+5,2.92,1.94,5.00,,1.81,1.81,358.9,11.30,24.4,-41.6,.995,2.85,30.3,17.4,,
144,145,VOC,Vocus Comms,1.420,6.17,+22,6.59,4.86,2.20,f,.36,.51,80.0,35.42,17.4,43.3,10.353,.96,22.5,53.3,,
145,147,NEC,Nine Entertainment,1.378,1.53,+2.5,2.36,1.38,8.40,,5.49,5.49,-,12.39,12.3,-,.756,-,-25.9,-,,
146,146,SWM,Seven West Media,1.370,.905,+.5,2.008,.865,12.00,f,13.26,18.94,-,-99.70,-,-15.5,.473,-,-50.4,-9.2,,
147,151,AHG,Automotive Hldgs,1.348,4.40,+12,4.68,3.45,21.50,f,4.89,6.98,5.0,26.90,16.4,13.2,2.029,9.38,18.8,25.9,,
148,148,ENE,Energy Devs,1.346,7.90,+2,7.98,4.92,48.00,p,6.08,8.41,154.6,26.20,30.2,-12.3,3.506,1.86,71.0,56.0,,
149,144,PGH,Pact Grp Hldgs,1.331,4.52,-13,5.17,3.66,19.00,,4.20,4.79,-,54.60,8.3,-,4.333,.04,27.6,-,,
150,149,MSB,Mesoblast,1.328,3.94,+1,5.88,3.17,-,,-,-,-,-31.63,-,24.1,2.322,-.08,-7.7,-14.4,,
151,150,EBO,EBOS Grp,1.321,8.95,-,10.10,8.00,35.33,,3.95,3.95,-,61.71,14.5,-,1.349,6.39,-1.6,-,,
152,157,BPT,Beach Energy,1.268,.975,+6,1.73,.855,2.00,f,2.05,2.92,9.1,-10.76,-,84.6,.678,1.37,-41.1,-1.8,,
153,160,GEM,G8 Education,1.251,3.40,+20,5.63,2.86,23.00,f,6.76,9.66,58.3,16.15,21.1,58.1,2.307,-.83,-27.7,60.1,,
154,158,TNE,Technology One,1.239,3.99,+16,4.31,2.80,6.36,f,1.59,2.28,10.0,9.73,41.0,13.5,11.861,.24,45.1,51.3,,
155,156,NST,Northern Star Res,1.239,2.08,+6,2.56,.915,4.50,f,2.16,3.09,-,11.90,17.5,21.5,5.074,.37,24.8,37.5,,
156,152,WHC,Whitehaven Coal,1.231,1.20,-5.5,2.03,1.075,-,,-,-,-,-10.60,-,-53.6,.384,3.02,-29.6,-30.9,,
157,153,SIR,Sirius Res,1.228,2.98,-13,4.14,2.18,-,,-,-,-,-5.02,-,-65.5,3.772,-,-24.2,79.7,,
158,155,TME,Trade Me Grp,1.222,3.08,-6,3.83,2.91,15.01,,4.87,4.87,14.3,19.21,16.0,2.5,1.812,-,.9,6.7,,
159,159,SDF,Steadfast Group,1.212,1.63,+3.5,1.68,1.202,4.70,f,2.88,4.12,-,6.09,26.8,-,2.308,.16,31.0,-,,
160,154,SGH,Slater & Gordon,1.199,3.42,-18,8.07,3.29,8.50,p,2.49,3.29,21.2,35.30,9.7,32.0,2.835,1.56,-25.8,27.0,,
161,162,MMS,McMillan Shakespr,1.166,14.25,+56,14.49,9.40,56.00,f,3.93,5.61,23.8,89.13,16.0,-11.2,5.208,2.37,57.8,10.7,,
162,161,OZL,OZ Minerals,1.129,3.72,-8,5.01,2.93,10.00,,2.69,2.69,-50.0,16.00,23.3,-,.502,6.58,-17.9,-17.8,,
163,164,ARB,ARB Corp,1.126,14.22,+63,14.49,10.49,29.00,f,2.04,2.91,3.6,58.75,24.2,.5,5.690,2.42,29.3,20.3,,
164,166,EHE,Estia Health,1.123,6.21,+33,6.75,4.25,-,,-,-,-,-18.00,-,-,1.946,-,-,-,,
165,163,TPI,Transpacific Indust,1.122,.71,+1,1.102,.675,2.20,f,3.10,4.42,-,-11.60,-,-,.545,.32,-32.8,-2.0,,
166,171,AAD,Ardent Leisure Grp,1.070,2.42,+11,3.49,1.75,12.50,,5.17,5.70,8.3,10.92,22.2,9.7,2.118,.78,-1.5,30.0,,
167,165,DJW,Djerriwarrh Invest,1.069,4.89,+2,4.94,4.36,26.00,f,5.32,7.60,160.0,21.47,22.8,9.4,1.398,3.52,4.4,14.1,,
168,177,MTS,Metcash,1.068,1.15,+10,2.945,1.02,15.50,f,13.48,19.25,-64.9,-42.40,-,-.9,.923,-.14,-59.1,-26.2,,
169,169,CTD,Corporate Travel,1.039,10.71,+11,13.09,6.359,13.50,f,1.26,1.80,17.2,22.40,47.8,37.0,7.817,1.91,67.4,77.4,,
170,172,AHY,Asaleo Care,1.032,1.71,+3,2.13,1.60,-,,-,-,-,-,-,-,2.661,-,-1.6,-,,
171,170,VRL,Village Roadshow,1.030,6.43,+3,7.73,5.08,28.00,f,4.35,6.22,3.9,25.80,24.9,-4.1,1.976,1.05,-14.0,35.2,,
172,173,CNU,Chorus,1.019,2.57,+4,3.06,1.48,-,,-,-,-100.0,32.22,8.0,-22.9,1.500,1.41,59.6,6.9,,
173,167,MIN,Mineral Resources,1.017,5.42,-16,11.39,5.30,39.50,f,7.29,10.41,29.2,37.70,14.4,37.5,.893,5.30,-48.8,-7.5,,
174,168,HTA,Hutchison,1.004,.074,-.3,.115,.054,-,,-,-,-,-2.17,-,24.3,2.695,.02,4.0,33.7,,
175,174,EVN,Evolution Mining,.992,1.00,-.5,1.305,.435,2.00,,2.00,2.00,100.0,8.10,12.3,-26.7,1.264,1.60,40.7,-10.2,,
176,176,BKI,BKI Invest,.977,1.755,-1,1.79,1.535,7.20,f,4.10,5.86,3.6,7.78,22.6,4.4,1.145,1.65,7.5,18.4,,
177,175,MTR,Mantra Grp,.968,3.62,-7,4.39,1.94,5.00,f,1.38,1.97,-,8.70,41.6,-,3.765,.32,87.5,-,,
178,188,AGI,Ainsworth Game Tech,.967,3.00,+37,3.79,2.03,10.00,f,3.33,4.05,25.0,19.00,15.8,17.9,4.110,.71,-17.7,12.7,,
179,183,SAI,SAI Global,.951,4.49,+30,4.99,3.49,16.00,p,3.56,4.36,3.3,17.40,25.8,-5.6,2.759,-.86,-4.4,3.9,,
180,178,SFR,Sandfire Res,.944,6.02,-17,6.80,3.74,13.00,,2.16,2.16,-,48.34,12.5,-12.6,3.236,1.99,-4.6,-4.4,,
181,179,SHV,Select Harvests,.942,13.19,+7,13.29,5.18,24.00,,1.82,1.82,66.7,48.60,27.1,19.2,5.155,3.02,158.6,124.5,,
182,184,SIP,Sigma Pharmaceut,.941,.87,+5,1.01,.715,4.00,f,4.60,6.56,-50.0,5.10,17.1,5.5,1.643,.43,14.6,18.7,,
183,182,FXL,FlexiGroup,.922,3.03,+5,4.00,2.70,17.25,f,5.69,8.13,13.8,20.30,14.9,12.4,2.394,.75,-15.1,4.0,,
184,181,AUI,Aust United Invest,.921,8.42,+10,9.24,7.64,33.00,f,3.92,5.60,8.5,37.30,22.6,11.6,1.146,8.42,.8,17.4,,
185,187,MYX,Mayne Pharma,.921,1.17,+7,1.27,.546,-,,-,-,-,2.90,40.3,104.6,5.781,.01,34.5,61.1,,
186,186,MFF,Magellan Flagship,.894,1.945,+4.5,1.953,1.382,2.00,f,1.03,1.24,3.4,31.66,6.1,255.9,1.122,2.00,34.5,35.6,,
187,185,WAM,WAM Capital,.891,1.975,+1.5,2.11,1.885,13.50,f,6.84,9.76,8.3,11.25,17.6,14.9,1.494,1.86,4.7,14.7,,
188,180,IGO,Independence Grp,.890,3.78,-14,6.21,3.51,11.00,f,2.91,4.16,300.0,31.88,11.9,93.2,1.296,2.78,-20.7,7.9,,
189,192,BRG,Breville Grp,.890,6.84,+44,8.75,6.06,27.00,f,3.95,5.64,3.9,36.31,18.8,-3.5,4.177,1.14,-15.0,16.8,,
190,189,RFG,Retail Food Grp,.870,5.34,+16,8.00,4.41,22.75,f,4.26,6.09,11.4,28.10,19.0,2.2,2.806,-.55,18.6,33.3,,
191,190,CIN,Carlton Invest,.852,32.19,+34,32.37,26.64,106.00,f,3.29,4.70,8.7,136.10,23.7,8.8,1.260,34.51,14.7,30.5,,
192,193,BAP,Burson Grp,.835,3.48,+7,3.79,2.087,4.00,f,1.15,1.64,-,6.64,52.4,-,8.611,-,65.8,-,,
193,197,NPX,Nuplex Industries,.810,4.09,+14,4.25,2.55,16.72,,4.09,4.09,12.9,36.83,11.1,10.6,1.696,1.88,58.5,34.9,,
