ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4056.7 at 2011-08-08T16:36:02. Report at Monday, August 8, 2011. Processed Tuesday at 2011-08-09T01:00:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
Terramin Aust,TZN,.24,.285,.27,,
The Reject Shop,TRS,9.50,10.84,10.58,,
Thomson Res,TMZ,.13,.18,.15,,
Toll Hldgs,TOL,4.00,4.51,4.49,,
Tox Free Solutions,TOX,1.80,2.05,2.00,,
Treasury Wine Estate,TWE,3.03,3.41,3.31,,
UGL,UGL,12.01,13.37,13.37,,
Unilife Corp cdi,UNS,.555,.66,.66,,
Uranium Equities,UEQ,.062,.077,.075,,
Ventnor Res,VRX,.12,.18,.175,,
Verus Invest,VIL,.007,.009,.009,,
Victory West Metals opt feb12,VWMOA,.005,.008,.008,,
Viralytics def,VLADA,.445,-,-,,
Vngd All-World ex-US cdi,VEU,41.00,44.04,44.04,,
Vngd Aus High Yield etf unt,VHY,43.90,47.73,47.73,,
Vngd Aust Property etf unt,VAP,41.14,44.94,44.94,,
Vngd Aust Shares etf unt,VAS,51.02,57.01,57.01,,
Vngd Aus Small etf unt,VSO,43.95,47.92,47.92,,
Vngd US Total Market cdi,VTS,58.10,60.79,60.79,,
Watpac,WTP,1.23,1.40,1.35,,
Webfirm Grp,WFM,.063,.082,.082,,
Webjet,WEB,1.58,1.95,1.92,,
Wesfarmers,WES,27.40,28.85,28.85,,
  part prot,WESN,27.81,29.25,29.25,,
West Peak Iron,WPI,.14,.17,.17,,
Western Desert Res,WDR,.21,.27,.255,,
Westfield Grp stp,WDC,7.52,7.89,7.89,,
Westfield Retail Tr stp,WRT,2.25,2.40,2.40,,
Westpac TPS Tr pref,WCTPA,88.00,92.10,90.001,,
Whitefield,WHF,2.52,2.65,2.65,,
Wilson HTM Inv,WIG,.40,.54,.54,,
Woodside Petroleum,WPL,33.80,38.26,38.17,,
Woolworths,WOW,24.89,26.86,26.86,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
